marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
PRINCIPIA CONSULTORIA E TREINAMENTO,PA PrincipiAndo,41,41,0.001793272,1,0
Ô CREPE!,CREPE 33,43,39,0.0047125504,1,0
AMPLA,AMPLAPACK,0,16,0.004791955,1,0
REVESTIMENTOS CASA 7,+CASA,35,37,0.004878785,1,0
OFTALMOAMIGO,OFTALMO TOP,44,41,0.0049245805,1,0
UMTELECOM,A.R TELECOM,9,42,0.006127138,1,0
Brasil Farma Prime,FARMER BRAZIL,35,36,0.0074516903,1,0
AGROPEREIRA,AGRO FRONTEIRA,35,39,0.0076556373,1,0
X BRONZE BRONZEAMENTO NATURAL,Seu Bronze,44,44,0.007810255,1,0
Q.SABOR PIZZARIA DELIVERY,Sabor e Sabores,39,35,0.0088849915,1,0
Q.SABOR PIZZARIA DELIVERY,Sabor e Sabores,39,35,0.0088849915,1,0
LYS LAÇOS E ACESSÓRIOS,LIZ,26,35,0.009470278,1,0
Espírito Santo Convention & Visitors Bureau,89.1 Espírito Santo FM,35,41,0.012085734,1,0
DATEC SOLUTION,DATATECK,7,9,0.016576659,1,0
MALU GUARDANAPOS DE PAPEL,Tia Malu,16,35,0.017310295,1,0
BELLA FORMA LASER,FORMA,44,41,0.018761545,1,0
VEM EMPREENDER,EMPRENDER,9,35,0.022342263,1,0
GEOMAPA,GeoMatch,44,42,0.022659577,1,0
GEMINI SOLUTIONS IN REAL ESTATE,GEPEX SOLUTIONS,35,35,0.022890935,1,0
MOBILIÈRE MÓVEIS PERSONALIZADOS,Mobília · AI,40,35,0.023223957,1,0
Six Pilates Studio,PILATES HOME,41,35,0.023626564,1,0
WESTPOINT,NextPoint,9,9,0.025100544,1,0
ARENA BEACH,BEACH,41,35,0.025200034,1,0
Renova,Renova Be,44,35,0.026639922,1,0
INICIATIVA EDUCA!,EDUC-C,35,41,0.027354993,1,0
Fast MED,MEDPASS,35,36,0.028843965,1,0
CASA DA COXINHA LINHARES,Coxinha e Cia,43,35,0.032623023,1,0
Bella NOBRE DOCES,BELLA ROMA,35,32,0.036928523,1,0
IN CONNECTION,FF.CONNECTION,41,35,0.043870892,1,0
MAIS ODONTO,ODONTOMEDTEC,36,37,0.046415854,1,0
NACIONAL,LOCAÇÃO NACIONAL,0,37,0.048023503,1,0
FLOFF,PLOPY,35,18,0.055601045,1,0
FINOTRATO,FINO TRATO ESTAMPARIA,42,40,0.055614416,1,0
SOLAR BANHO E PISCINA,Solardyne,35,42,0.058693137,1,0
BOG BRASIL OUTLET GRIFFES,RCG BRASIL,40,35,0.060181987,1,0
F.A.Z. Financeiro de A a Z,FAZ O K,35,35,0.061739486,1,0
2 BROTHERS,BROTHERS BEACH,40,43,0.061774716,1,0
INSIDER BY POMPEU VACONCELOS,INSIDE,41,35,0.061841395,1,0
NEO AGROAMBIENTAL,NEOX,42,9,0.064355634,1,0
BR MOTOS BENEFÍCIOS,B & G motos,36,35,0.06461858,1,0
EU ENGLISH UNIVERSE,English (sem vish!),41,35,0.0683018,1,0
Ponto Metal,PONTO CERTO,35,35,0.06972119,1,0
META ENGENHARIA SERVIÇOS,METALUX,35,6,0.07574454,1,0
NOBRE SABOR GOURMET NO PONTO CERTO,Nobre Safra,39,35,0.07594648,1,0
MANGÔO SNACKS & CO.,Mango Mix,43,35,0.08347659,1,0
SER SAÚDE,Saúde sem Idade,35,41,0.086402714,1,0
UMTELECOM,Une Telecom,9,38,0.089046836,1,0
SOLAR BANHO E PISCINA,SOLARNORT,37,35,0.09343174,1,0
Q.SABOR PIZZARIA DELIVERY,Sabor e Sabores,39,43,0.10010164,1,0
Comunidade GG,Comunidade Leal,44,44,0.107594304,1,0
SABOROSO PRIME,Saboreô,30,35,0.112284765,1,0
LUKRE,LUVY,35,5,0.114407144,1,0
Agência VET,AGÊNCIA PITT,42,35,0.120485984,1,0
