marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
SABOR CASEIRO SELF SERVICE,CASEIROKA O VERDADEIRO SABOR CASEIRO,43,30,0.21258792,1,0
SHOPPING PIZZA BURGER,CAVEZZO BURGER & PIZZA,43,35,0.22645348,1,0
RANCHO DO ACARAJÉ,RANCHO 185,43,30,0.23515819,1,0
BONITO'S BAR,Bonantos,43,30,0.26576236,1,0
PSICO STORE,Psicoplace,35,44,0.26852798,1,0
NEO AGROAMBIENTAL,NEOON,42,44,0.28156397,1,0
É HIT,HITZ,38,41,0.2947844,1,0
DIAS SOLAR ENERGIA RENOVÁVEL,Solardyne,42,37,0.296392,1,0
AGROPEREIRA,AGRO FRONTEIRA,35,37,0.3122783,1,0
BONNA PIZZA,Bon Nut,43,30,0.31903067,1,0
LEMON DECOR,LEMONY,35,44,0.33346665,1,0
CASCAJU.COM.BR,CASCADO,29,43,0.33533412,1,0
MARCAS COMUNICAÇÃO VISUAL,Marca Aí,35,45,0.3495135,1,0
NEO SOLUÇÕES AMBIENTAIS & PROJETOS AGROPÉCUARIOS,Neoin,42,37,0.35540015,1,0
