marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
A2R ENERGIA SOLAR,A2R2,35,40,0.99338394,0,1
SUPERMERCASA,SUPERMERCADO PAIVA,35,5,0.9929103,0,1
GESTAÇÃO,Gestar +,9,42,0.9914438,0,1
BEONFASHION ON-LINE STYLE,Jan Fashion,25,25,0.9910759,0,1
FA FASHION ATACADISTA O VAREJO NO PRECINHO DE ATACADO,DIVA FASHION,25,25,0.99080807,0,1
SISAL JEANS,SIX,25,40,0.98990226,0,1
VEST GOSPEL,VEXTER,25,25,0.9884517,0,1
UNIFOR-MG CENTRO UNIVERSITÁRIO DE FORMIGA,UNISAT UNIFORMES,25,25,0.98794657,0,1
DOM PASTEL,PASTÉ,42,43,0.987515,0,1
OdontoCape centro odontológico,ODONTOUR,41,44,0.98686254,0,1
LULUI BIKINIS,LUBE,25,40,0.98677826,0,1
MD SISTEMAS,SISTEMAG,42,42,0.9865898,0,1
FARDIN,Farin,30,30,0.98234475,0,1
BELLA DAMA COSMÉTICOS,D'Bella,35,3,0.98039824,0,1
UMTELECOM,HG TELECOM,38,38,0.9788729,0,1
COLMEIA,KOLMEIA,42,42,0.97714657,0,1
PASTEL DA TERRA,PASTELÊ,43,30,0.97654486,0,1
Virtua Vet Coworking Veterinário,VETTES,44,35,0.9764948,0,1
ATELIÊ BOLDO,ATELIÊ DA GI,25,25,0.9759542,0,1
G GRA VIAGENS,grão.,39,39,0.9757145,0,1
MARCENARIA MLM LUCAS MÓVEIS,MARCENAR,20,20,0.97539717,0,1
Scanauto,Scana,37,42,0.974294,0,1
MARLEX SELAS E ACESSÓRIOS,MARLELI,35,25,0.97424215,0,1
FAMÍLIA CHURRASQUINHO,HAMAGLIA,35,25,0.9740448,0,1
Hconnect,ZOECONNECT,42,42,0.97350174,0,1
CB CASA BETEL,CASAE,35,20,0.9731646,0,1
Multihype,Multifeme,28,41,0.9723671,0,1
GREEN GUPPY,GREEN MONEY,25,35,0.97161037,0,1
UMTELECOM,A9 Telecom,38,38,0.970595,0,1
MISS NINA,Nini,25,35,0.97027266,0,1
DURAFORT,ARAFORT,11,9,0.96996033,0,1
RELEVANTE,R RELEVANTE NEWS,41,41,0.9696796,0,1
LINAUS CLINIC,LINAR,44,9,0.96955264,0,1
CONTÁBIL TURMALINA,CONTABILEIS,35,35,0.9688389,0,1
UMTELECOM,F6 TELECOM,38,38,0.96691585,0,1
EU TE PEGO,ICE EU TE PEGO!,35,33,0.96562,0,1
SANAUTO,SOSAN AUTO,12,7,0.9648494,0,1
R W,RW,35,35,0.9645913,0,1
MÉTODO 3T,MÉTODO DES,41,41,0.9628289,0,1
LY BEACHWEAR,LIVELI,25,25,0.9620004,0,1
A ALTERNATIVA,ALTIVA,35,25,0.96093404,0,1
ArteSanto Feira Nacional do Artesanato do Espírito Santo,ARTESANOU,35,35,0.96015936,0,1
LIFE SPACE,theSpace,42,42,0.9595607,0,1
SMART SCOOTERS,B=SMART,35,35,0.958035,0,1
AIZU ENGENHARIA E ARQUITETURA,AIZI.,42,35,0.95723146,0,1
FESTIVAL DE OLHO NO PORCO,DE OLHO NO ESPORTE,41,41,0.9570984,0,1
Virtua Vet Coworking Veterinário,TAVET,44,5,0.95687866,0,1
BOGHOS BOYADJIAN CADI CENTRO AVANÇADO DE DIAGNOSTICO POR IMAGEM,CADI CENTRO AVANÇADO DE DIAGNÓSTICO POR IMAGEM,44,10,0.9566804,0,1
XES BRASIL,SE7ES,25,25,0.95662606,0,1
SR. & SRA. FIT,SRX,35,5,0.956319,0,1
QUINTAL DO COCO,QUINTAL DO ZICO,39,43,0.9560896,0,1
IVIDROS,NM VIDROS,35,19,0.95527,0,1
MÓVEIS PAGANINI,Harmoni MÓVEIS,20,20,0.95516384,0,1
CHAMA EMPREENDEDORA,Moda Empreendedora,41,41,0.9517947,0,1
Temperos Magia,TEMPERO DO EDU,30,30,0.95134187,0,1
ALPHA CO.,ALPHA PRIME,25,40,0.94897085,0,1
ARENA BEACH,OWL BEACH ARENA,38,41,0.94886637,0,1
CASA D INTERIORES,Casa do Véu,35,25,0.94878227,0,1
AUTO PEÇAS MATOS,AUTOPECASLTZ2020,35,35,0.94850075,0,1
Festival de Inverno de Garanhuns FIG,Festival de Vinhos de Inverno,41,41,0.9463405,0,1
A MAR A VIDA,Vida,41,41,0.9455585,0,1
PASTEPIZZA LANCHES,PASTÉ,43,43,0.94539243,0,1
Elevant Consultoria,ELEVATE,35,44,0.9453096,0,1
DOCES DELLÉ,DOCES +,35,30,0.9450213,0,1
M MANIX,Manyoo,25,18,0.94368345,0,1
data pool.io,datapoli,42,35,0.9436618,0,1
ANA CLARA,Ana Clara,40,20,0.941417,0,1
SUPERMERCASA,SUPERMERCADO PAIVA,35,8,0.9411616,0,1
DEEP COLLECTION,Alvile collection,25,25,0.94101673,0,1
BOUTIQUE PET LUCKY JR,LT BOUTIQUE,35,40,0.94054645,0,1
AXÉ DA SORTE,axexo,36,36,0.9403994,0,1
Virtua Vet Coworking Veterinário,Uravet,44,10,0.93944913,0,1
ELETRO SOLAR,SIM Eletro,35,35,0.9394018,0,1
CLINICA D.O.C SAÚDE PERSONALIZADA,Clini,44,42,0.9390352,0,1
AMAZON PRODUTOS NATURAIS,amazoca,30,43,0.9381654,0,1
MOODZ COLLECTION,WE COLLECTION,25,25,0.93806285,0,1
CONFEITARIA AURORA ITABIRITO,AL confeitaria,43,35,0.9371514,0,1
Trivora Utilidades,Trivo,35,43,0.93712556,0,1
PARADISE CHANNELS,Channels,38,41,0.9369851,0,1
É DE CASA ENERGIA SOLAR,+CASA,42,37,0.9368575,0,1
SANTO AFETO TEEN & KIDS,Santo Axé,25,35,0.93632704,0,1
CONTGA,CONTGO,37,42,0.9359411,0,1
