marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
Master Multi,Mastery7,35,35,0.6897803,0,1
D&F MODA FITNESS,Life Move Moda Fitness,35,25,0.60373896,0,1
VIDRAÇARIA BRASÍLIA,VIDRAÇARIA MK,37,37,0.5857563,0,1
VALE ZELAR,VALE JJR,37,37,0.56429166,0,1
ESPETINHO DA KARLA DESDE 1996,ESPETINHO DO BEBÊ,43,43,0.5621942,0,1
RI ARQUITETURA,ACAIÁ ARQUITETURA,42,42,0.5547169,0,1
MALU,MALULU KIDS,16,25,0.46923968,0,1
MALU,MA5,16,37,0.39780065,0,1
Y.Consultoria,ZV CONSULTORIA,35,35,0.38725364,0,1
CASA CONCRETA,CONCREJOTA,41,40,0.38559797,0,1
MALU,MALAYA,16,30,0.3848326,0,1
PP TREINAMENTOS,Entretreinamento,41,41,0.3788501,0,1
RESTAURANTE GUARANI SELF SERVICE UBATUBA - SP,Baloi Restaurante,40,43,0.3613513,0,1
BARBEARIA SETE DE PAUS,BARBEARIA 288,44,44,0.35818034,0,1
Vamo Street Mall,VAMORA,36,10,0.34328824,0,1
FAZENDA HOMEM DE PEDRA,FAZENDA CAMARGO,35,40,0.34275675,0,1
DISTRIBUIDORA BAESSA ÁGUA GÁS E CARVÃO,DISTRIBUIDORA NACIONAL 31,35,21,0.34166646,0,1
NACIONAL,Nacional Cards,0,35,0.34045345,0,1
E A ESTUDIO ARTE,ESTÚDIO NT,38,41,0.33362818,0,1
RESTAURANTE MENINA GERAIS,Restaurante Biu Rico,43,43,0.33353186,0,1
BAZAR BOTÂNICO,BOTANICCA,35,44,0.3244457,0,1
MENTORIA EM GRANDES OPERAÇÕES,Mentoria KETA,41,41,0.3176407,0,1
DROGARIA SANDES,DROGARIAS X PRIME,35,35,0.31581226,0,1
VIA BRASIL,LOJAS VIA BRASIL,35,28,0.3054001,0,1
REI DAS CLÍNICAS,CLINICA LINUS,44,44,0.29399467,0,1
ES CONSTRUÇÃO,GWL CONSTRUÇÃO,41,37,0.29100162,0,1
ELETRO SOLAR,rda eletro,35,35,0.28965068,0,1
ALLTECH,Allevo Tech,45,41,0.2872925,0,1
ESPIRITO SANTO FASHION,89.1 Espírito Santo FM,35,41,0.2824346,0,1
Rénové Biocosmetic Spray Hidratante Corporal (Body Moisturizing),RenovaMap,3,42,0.28060743,0,1
NACIONAL,BETNACIONAL,0,42,0.2787775,0,1
Auto Posto G&D,AUTO POSTO KS,35,37,0.27582958,0,1
UNIVERSIDADE DAS ARTES,UNIFLEX UNIVERSIDADE USAFLEX,41,41,0.26851144,0,1
PERSONALE PLANTAS,PERSONE,42,5,0.26556805,0,1
FARMÁCIA MAR & VIDA,MAIS VIDA,35,35,0.25966632,0,1
GRAN MAREIRO HOTEL,Gran Marrion,43,30,0.25799152,0,1
ELÉVI+,ELEV-C,35,35,0.25301665,0,1
ESCRITA E LEITURA PARA EVOLUÇÃO E VALORIZAÇÃO NA APRENDIZAGEM ELEVA,elevato,35,30,0.25231186,0,1
TERRAL MARESIAS,TERRADUU,-1,25,0.24238051,0,1
DONA DESIGN,Donalu,35,21,0.24041319,0,1
NORDESTE EMPREENDEDOR,EMPREENDEDOR BRABO,41,41,0.23973817,0,1
NEW ELLEGANCE,Monivelle Élégance,44,35,0.23621859,0,1
SOMA FLUX,SOMAR,35,35,0.23422614,0,1
PINEE,Pineal,21,35,0.23125307,0,1
C CONTROLLER,CNCCONTROL,0,37,0.23124436,0,1
ZZ CAPITÃO MUZZARELA,CAPITÃO CHICO,43,43,0.23023076,0,1
EU ENGLISH UNIVERSE ONLINE,English Deploy,41,41,0.22421713,0,1
Jucelino Móveis Planejados,LOOV Móveis Planejados,35,35,0.22382809,0,1
STUDIO OFICINA 3D,STUDIO A,35,11,0.22066239,0,1
ALLTEC SISTEMAS DE CONTROLE DESDE 1995,Alltech,35,5,0.2198028,0,1
MOVE ENERGIA,ENERGIL,35,5,0.21932039,0,1
AÇAÍ CURITIBA,AÇAÍ BM,30,29,0.21586336,0,1
EMPÓRIO POUSO ALEGRE,Empório CTZ,35,35,0.21533428,0,1
DOM PASTEL,PASTEL DA NEIDE,0,35,0.21441911,0,1
CONEXÃO FOOD HALL,Conexão Tanino,43,35,0.21166462,0,1
Z ZEST,Z ZEXTER,35,35,0.20960112,0,1
CEMINHA,Cestinha,41,42,0.20624009,0,1
SYM,SIML,36,41,0.20483452,0,1
RESTAURANTE MENINA GERAIS,L&J RESTAURANTE,43,43,0.20202327,0,1
PELLE SANA CLÍNICA ESPECIALIZADA EM TRATAMENTO DE FERIDAS,SAN' MIELLE,44,35,0.20036766,0,1
GLOBUSINESS CENTER,RA Agrobusiness,35,35,0.19446072,0,1
CONCEITO Modular e Offsite,CONCEITO 4.0,6,35,0.19359961,0,1
RODA,RÓD,18,42,0.18952164,0,1
P&P CONTABILIDADE E CONSULTORIA EMPRESARIAL,MONETIZEI CONTABILIDADE,35,35,0.18914445,0,1
SORVETES DO VALE,SORVETES GE-LITTÁ,35,30,0.18813905,0,1
MAIS MÓVEIS,MAIS ERP,20,42,0.18702638,0,1
CASTELLA,CASAELLA,11,35,0.18676038,0,1
SERELEITO.COM,SERELEPE,42,3,0.18385178,0,1
Quintal Cozinha pra Torar,Quintal Animal,43,43,0.18308115,0,1
MALU,Maloca,16,41,0.17665511,0,1
RESGATE,O RESGATE,9,45,0.17545144,0,1
PEIDO PRONTO,Peido Seco,35,35,0.17027351,0,1
PASSAQUI ANTECIPA,PASSETUR,36,39,0.16792455,0,1
PSICO STORE,Psicosfera,35,35,0.16585487,0,1
MALU GUARDANAPOS DE PAPEL,MALA MÁGICA,16,25,0.16459797,0,1
SUPERMERCADO NOSSA FAMÍLIA,FAMILY AÇAÍ,35,35,0.16242555,0,1
SMART IMOBILI,B=SMART,36,37,0.1621888,0,1
AVESTA,Siesta,36,21,0.15737852,0,1
DESMONTADORA INOVA ECO PEÇAS,TW montadora,35,37,0.15692906,0,1
ESTÂNCIA DOS CAMPOS GALILÉIA - MG,ESTÂNCIA NOBRE,35,43,0.15369152,0,1
SOLUÇÕES CONDOMÍNIOS & SERVIÇOS,FAC Soluções,36,35,0.15236022,0,1
PLANETA DOS FOGOS,Planeta Feijão,13,35,0.15112549,0,1
FAZENDA HOMEM DE PEDRA,FAZENDA ÁFRICA,44,35,0.15079796,0,1
Lumiê Lingerie & Co.,LUMIÈRE,35,14,0.15061635,0,1
